source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_server_name,tls_ja3_hash,tls_cipher_suite_length,tls_cert_length,tls_issuer,tls_algorithm_id,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len
192.168.64.11,185.14.30.57,96,56070,9001,0xc030,13,www.b6p34rzakwd3zqjcb6dbe3jm.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,22,42204,443,0xc030,13,www.up7pxyghvcekzwne4dxzbu4.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,62,60076,443,0xc030,13,www.qffpfmfbvuszipovzmnnwl.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,58,55822,9001,0xc030,13,www.dgj6cgmrke.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,27,60120,443,0xc030,13,www.vieuewg.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,75,55860,9001,0xc030,13,www.siimxbtcewpe.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,56,42260,443,0xc030,13,www.q6la2z76hxt5dj6mwd5o6zam.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,66,42312,443,0xc030,13,www.d7twsrmwcwebdzvfnulb6ymv.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,26,60190,443,0xc030,13,www.gp5kcdjwv5xzzeziuan.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,46,55930,9001,0xc030,13,www.komno5ar66cch2lwcfyr7ec.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,26,55764,9001,0xc030,13,www.fqhxbpna.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,52,60032,443,0xc030,13,www.antac.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,65,42166,443,0xc030,13,www.k4woe.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,23,42474,443,0xc030,13,www.nlufrv6.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,46,56084,9001,0xc030,13,www.ueaz6advek.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,79,60354,443,0xc030,13,www.ir45tsg5jigt.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,29,55874,9001,0xc030,13,www.bwdf.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,58,42272,443,0xc030,13,www.2d252jqljhar5.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,69,60146,443,0xc030,13,www.6y6hg5fu6l5k6kiu2b.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,26,56114,9001,0xc030,13,www.bfs2.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,61,60378,443,0xc030,13,www.hjmk27v462j5w.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,61,42516,443,0xc030,13,www.r3f36.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,24,60058,443,0xc030,13,www.igk4dzgpxw23hvspkv7zph.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,28,42190,443,0xc030,13,www.vo6pmzxmofagadhu.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,91,55806,9001,0xc030,13,www.exxbyl5xxneb3a.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,66,60106,443,0xc030,13,www.zqwkkrggta5odtshm.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,64,42244,443,0xc030,13,www.5g7fki7cumvx6ytmg72i722.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,27,55950,9001,0xc030,13,www.6zirhxf5kxq6fvkma5jxxlh57.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,105,60220,443,0xc030,13,www.lg3zj.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,23,60166,443,0xc030,13,www.vwsmmli4vovkqps7gqa.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,87,42298,443,0xc030,13,www.7wycqd.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,38,55914,9001,0xc030,13,www.awxhb23z.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.14.30.57,29,56038,9001,0xc030,13,www.oomlvy6r27hb.com,83d60721ecc423892660e275acc4dffd,28,585,www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,172.106.112.42,64,60302,443,0xc030,13,www.gs5a.com,83d60721ecc423892660e275acc4dffd,28,582,www.52ozqbaium.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,95.216.33.58,58,42440,443,0xc030,13,www.kfs2o2ym3paob5.com,83d60721ecc423892660e275acc4dffd,28,577,www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
