stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash
268,192.168.64.11,142.250.187.234,8,42322,443,0x0304,0x304,jnn-pa.googleapis.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
269,192.168.64.11,142.250.178.14,9,54770,443,0x0304,0x304,consent.youtube.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
270,192.168.64.11,142.250.178.2,15,38918,443,0x0304,0x304,googleads.g.doubleclick.net,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
271,192.168.64.11,142.250.187.198,15,38112,443,0x0304,0x304,static.doubleclick.net,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
272,192.168.64.11,142.250.200.5,11,53138,443,0x0304,0x304,gmail.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
273,192.168.64.11,142.250.179.229,18,39710,443,0x0304,0x304,mail.google.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
274,192.168.64.11,142.250.179.229,9,39712,443,0x0304,0x304,mail.google.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
279,192.168.64.11,142.250.180.3,11,45764,443,0x0304,0x304,fonts.gstatic.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
280,192.168.64.11,142.250.180.3,9,45766,443,0x0304,0x304,fonts.gstatic.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
281,192.168.64.11,142.250.180.3,9,45768,443,0x0304,0x304,fonts.gstatic.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
282,192.168.64.11,142.250.180.3,9,45770,443,0x0304,0x304,fonts.gstatic.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
283,192.168.64.11,142.250.180.3,9,45772,443,0x0304,0x304,fonts.gstatic.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
284,192.168.64.11,142.250.180.3,8,45774,443,0x0304,0x304,fonts.gstatic.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
285,192.168.64.11,142.250.179.232,9,44096,443,0x0304,0x304,www.googletagmanager.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
286,192.168.64.11,216.58.213.17,8,46628,443,0x0304,0x304,csp.withgoogle.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
287,192.168.64.11,172.217.16.238,9,54780,443,0x0304,0x304,www.google-analytics.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
288,192.168.64.11,216.239.32.36,14,52026,443,0x0304,0x304,region1.google-analytics.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
289,192.168.64.11,140.82.121.3,15,42406,443,0x0304,0x304,github.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
291,192.168.64.11,185.199.110.154,30,40516,443,0x0304,0x304,github.githubassets.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
290,192.168.64.11,185.199.110.154,9,40514,443,0x0304,0x304,github.githubassets.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
292,192.168.64.11,185.199.110.154,8,40518,443,0x0304,0x304,github.githubassets.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
293,192.168.64.11,185.199.110.154,9,40520,443,0x0304,0x304,github.githubassets.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
294,192.168.64.11,185.199.110.154,9,40522,443,0x0304,0x304,github.githubassets.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
295,192.168.64.11,185.199.110.154,9,40524,443,0x0304,0x304,github.githubassets.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
296,192.168.64.11,185.199.110.154,4,40526,443,0x0304,0x304,github.githubassets.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
298,192.168.64.11,185.199.110.133,9,34510,443,0x0304,0x304,avatars.githubusercontent.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
297,192.168.64.11,185.199.110.154,13,40528,443,0x0304,0x304,github.githubassets.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
299,192.168.64.11,140.82.113.22,11,46882,443,0x0304,0x304,collector.github.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
300,192.168.64.11,140.82.121.5,14,36476,443,0x0304,0x304,api.github.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
301,192.168.64.11,34.120.208.123,199,43830,443,,,,,,,,,,,,,,,,,,,
302,192.168.64.11,23.72.230.183,89,56348,443,0x0304,0x304,www.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
303,192.168.64.11,52.84.93.53,22,43926,443,0x0304,0x304,choice.npr.org,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
304,192.168.64.11,23.72.230.183,10,56352,443,0x0304,0x304,media.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
306,192.168.64.11,23.72.230.183,11,56356,443,0x0304,0x304,s.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
305,192.168.64.11,23.72.230.183,9,56354,443,0x0304,0x304,s.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
307,192.168.64.11,142.250.187.234,13,42590,443,0x0304,0x304,safebrowsing.googleapis.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
309,192.168.64.11,216.58.212.232,24,42866,443,0x0304,0x304,www.googletagmanager.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
311,192.168.64.11,2.19.61.85,10,33944,443,0x0304,0x304,static-assets.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
310,192.168.64.11,2.19.61.85,10,33942,443,0x0304,0x304,static-assets.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
317,192.168.64.11,2.19.61.85,10,33956,443,0x0304,0x304,bundles.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
316,192.168.64.11,2.19.61.85,11,33954,443,0x0304,0x304,bundles.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
315,192.168.64.11,2.19.61.85,11,33952,443,0x0304,0x304,bundles.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
314,192.168.64.11,2.19.61.85,11,33950,443,0x0304,0x304,bundles.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
313,192.168.64.11,2.19.61.85,11,33948,443,0x0304,0x304,bundles.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
312,192.168.64.11,2.19.61.85,10,33946,443,0x0304,0x304,bundles.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
318,192.168.64.11,13.224.245.99,16,39582,443,0x0304,0x304,js.stripe.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
320,192.168.64.11,2.18.84.142,29,37278,443,0x0303,0x304,s.go-mpulse.net,17.0,False,True,6.0,2,,0xc02c,29,1,4.0,2,2470,2022-04-15 00:00:00 (UTC),2023-04-19 23:59:59 (UTC),34,579ccef312d18482fc42e2b822ca2430
321,192.168.64.11,2.18.84.142,8,37280,443,0x0303,0x304,c.go-mpulse.net,17.0,False,True,6.0,2,,0xc02c,29,1,4.0,2,2470,2022-04-15 00:00:00 (UTC),2023-04-19 23:59:59 (UTC),40,579ccef312d18482fc42e2b822ca2430
322,192.168.64.11,2.18.84.142,8,37282,443,0x0303,0x304,02179911.akstat.io,17.0,False,True,6.0,2,,0xc02c,29,1,4.0,2,2470,2022-04-15 00:00:00 (UTC),2023-04-19 23:59:59 (UTC),40,579ccef312d18482fc42e2b822ca2430
323,192.168.64.11,108.156.46.122,15,43366,443,0x0304,0x304,m.stripe.network,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
324,192.168.64.11,142.250.179.238,14,55760,443,0x0304,0x304,www.google-analytics.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
326,192.168.64.11,142.250.187.228,22,47766,443,0x0304,0x304,www.google.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
325,192.168.64.11,216.35.221.71,10,42314,443,0x0303,0x304,api.npr.org,17.0,False,True,6.0,2,,0x009d,29,1,4.0,2,2841,2022-01-07 00:00:00 (UTC),2023-02-02 23:59:59 (UTC),5,579ccef312d18482fc42e2b822ca2430
327,192.168.64.11,34.149.226.120,18,40622,443,0x0304,0x304,abstractedauthority.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
328,192.168.64.11,13.224.245.120,18,36890,443,0x0304,0x304,rumcdn.geoedge.be,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
330,192.168.64.11,142.250.187.228,9,47772,443,0x0304,0x304,www.google.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
332,192.168.64.11,2.19.61.85,13,33984,443,0x0304,0x304,legacy.npr.org,17.0,False,True,6.0,2,29,0x1302,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
333,192.168.64.11,13.107.21.200,21,56942,443,0x0303,0x304,bat.bing.com,17.0,False,True,6.0,2,,0xc030,29,1,4.0,2,4800,2022-06-10 01:15:41 (UTC),2022-12-10 01:15:41 (UTC),26,579ccef312d18482fc42e2b822ca2430
335,192.168.64.11,142.250.187.234,12,42644,443,0x0304,0x304,safebrowsing.googleapis.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,52,02aa4679df284f240695da144b70c288
336,192.168.64.11,142.250.200.35,26,52484,443,0x0304,0x304,www.gstatic.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
334,192.168.64.11,52.41.199.178,14,41880,443,0x0303,0x304,m.stripe.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,2,2939,2022-04-11 00:00:00 (UTC),2022-08-03 23:59:59 (UTC),34,579ccef312d18482fc42e2b822ca2430
338,192.168.64.11,104.18.5.81,10,40130,443,0x0304,0x304,e1cef1f0-495f-4973-ba1c-880786e73a66.edge.permutive.app,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
339,192.168.64.11,35.244.142.80,17,56012,443,0x0304,0x304,cdn.pdst.fm,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
340,192.168.64.11,216.137.34.250,13,58304,443,0x0304,0x304,sc-static.net,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
341,192.168.64.11,13.32.168.122,8,48772,443,0x0304,0x304,js.adsrvr.org,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
343,192.168.64.11,34.107.254.252,4,39288,443,0x0304,0x304,api.permutive.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
344,192.168.64.11,35.190.43.134,4,33738,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
346,192.168.64.11,35.190.43.134,4,33742,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
345,192.168.64.11,35.190.43.134,4,33740,443,0x0304,0x304,tr.snapchat.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
347,192.168.64.11,35.241.9.51,4,33682,443,0x0304,0x304,e1cef1f0-495f-4973-ba1c-880786e73a66.prmutv.co,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
350,192.168.64.11,216.239.34.36,12,53166,443,0x0304,0x304,region1.google-analytics.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
351,192.168.64.11,34.120.237.76,61,52056,443,,,,,,,,,,,,,,,,,,,
354,192.168.64.11,52.84.93.86,65,33286,443,0x0304,0x304,getpocket.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
355,192.168.64.11,216.58.212.232,26,42946,443,0x0304,0x304,www.googletagmanager.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
356,192.168.64.11,104.16.149.64,23,39706,443,0x0304,0x304,cdn.cookielaw.org,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
358,192.168.64.11,151.101.62.217,16,44556,443,0x0303,0x304,fdyn.pubwise.io,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,2,2870,2022-02-04 20:45:27 (UTC),2023-03-08 20:45:26 (UTC),38,579ccef312d18482fc42e2b822ca2430
357,192.168.64.11,151.101.62.217,10,44554,443,0x0303,0x304,fdyn.pubwise.io,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,2,2870,2022-02-04 20:45:27 (UTC),2023-03-08 20:45:26 (UTC),38,579ccef312d18482fc42e2b822ca2430
360,192.168.64.11,13.224.245.62,25,33914,443,0x0304,0x304,assets.getpocket.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
