stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash,label
113,192.168.64.11,192.99.152.50,30,57246,9001,0x0304,0x304,www.b45nxhz4nd6o4v5ikk.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
114,192.168.64.11,192.99.152.50,123,57906,9001,0x0304,0x304,www.3lxnct5m5aqjnac7x4e.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
115,192.168.64.11,82.65.58.162,38,37562,9001,0x0304,0x304,www.wlmzgbsnhgyxzteb2ehnhsdu.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
116,192.168.64.11,82.65.58.162,107,37702,9001,0x0304,0x304,www.uchogdf4b.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
117,192.168.64.11,192.99.152.50,42,58066,9001,0x0304,0x304,www.rnsy6qnqmyhsj4wj.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
118,192.168.64.11,82.65.58.162,116,37026,9001,0x0304,0x304,www.mtcr2rnwop7aqxwjdp.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
119,192.168.64.11,192.99.152.50,48,57402,9001,0x0304,0x304,www.onbsdqbnlnsqh.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
121,192.168.64.11,192.99.152.50,87,58548,9001,0x0304,0x304,www.xl5hy4bk4jazoc.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
122,192.168.64.11,82.65.58.162,23,38196,9001,0x0304,0x304,www.wgga6runte563fa5nngkw4.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
123,192.168.64.11,82.65.58.162,58,55204,9001,0x0304,0x304,www.7elvhq7lr5wpelzgz7bazhm.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
124,192.168.64.11,192.99.152.50,19,47308,9001,0x0304,0x304,www.2onku7tirw64yv.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
125,192.168.64.11,82.65.58.162,109,36730,9001,0x0304,0x304,www.zwizqz6alwd6a.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
126,192.168.64.11,192.99.152.50,46,57106,9001,0x0304,0x304,www.45ncsszhpfl2yr6y.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
127,192.168.64.11,192.99.152.50,121,58626,9001,0x0304,0x304,www.vjqkuqjdbu.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
128,192.168.64.11,82.65.58.162,48,38280,9001,0x0304,0x304,www.ds5urpegjvgewg.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
