stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash,label
68,192.168.64.11,192.99.152.50,34,57556,9001,0x0304,0x304,www.qkdtbxkq.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
69,192.168.64.11,192.99.152.50,128,57504,9001,0x0304,0x304,www.w7fh2rrfz5p7be6zdcyk3i6ce.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
70,192.168.64.11,82.65.58.162,23,37160,9001,0x0304,0x304,www.44wmpghqalriuaqnlg.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
71,192.168.64.11,192.99.152.50,93,58506,9001,0x0304,0x304,www.mqrhyap.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
72,192.168.64.11,82.65.58.162,21,38150,9001,0x0304,0x304,www.ru6njy7meajxpcmiye3qrm6.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
73,192.168.64.11,82.65.58.162,82,37290,9001,0x0304,0x304,www.patuk7ftj.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
74,192.168.64.11,192.99.152.50,29,57662,9001,0x0304,0x304,www.3rljlpull.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
75,192.168.64.11,82.65.58.162,89,38224,9001,0x0304,0x304,www.5fdrszmv3e2xm.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
76,192.168.64.11,192.99.152.50,54,58594,9001,0x0304,0x304,www.cdkduldkfgax7aff.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
77,192.168.64.11,82.65.58.162,93,36574,9001,0x0304,0x304,www.4vt4am.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
78,192.168.64.11,192.99.152.50,28,56938,9001,0x0304,0x304,www.jbkzp6wopufqmm.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
79,192.168.64.11,192.99.152.50,110,57012,9001,0x0304,0x304,www.lbhyu.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
80,192.168.64.11,82.65.58.162,22,36666,9001,0x0304,0x304,www.picm.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
81,192.168.64.11,82.65.58.162,63,36954,9001,0x0304,0x304,www.pniywqhwm2v3evsoc7yq.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
82,192.168.64.11,192.99.152.50,49,57314,9001,0x0304,0x304,www.fte6spg5kh.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
83,192.168.64.11,82.65.58.162,112,36534,9001,0x0304,0x304,www.exicpb5mkgql7ox3d2adalijn.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
84,192.168.64.11,192.99.152.50,64,56898,9001,0x0304,0x304,www.2ytzhsghamnebzze6zdxa.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
85,192.168.64.11,192.99.152.50,136,57788,9001,0x0304,0x304,www.bto6kvnwthmxkw5gdtdajhqzh.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
