stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash
106,192.168.64.11,158.69.207.216,25,48160,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.xero4pcttdgnz2z5.com,83d60721ecc423892660e275acc4dffd
107,192.168.64.11,23.250.14.98,13,44716,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.2jg2hk3cae4gns.com,83d60721ecc423892660e275acc4dffd
108,192.168.64.11,158.69.207.216,36,48060,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.4l5iw4l7vf6xi3bquhdu6esr.com,83d60721ecc423892660e275acc4dffd
109,192.168.64.11,85.195.208.19,25,53766,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.vye4sec7iing3xrkh6h.com,83d60721ecc423892660e275acc4dffd
110,192.168.64.11,23.250.14.98,32,44598,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.5lmkudpcit3rdqjlypfw.com,83d60721ecc423892660e275acc4dffd
111,192.168.64.11,85.195.208.19,13,53756,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.lkcptcgoget35wdzeb.com,83d60721ecc423892660e275acc4dffd
112,192.168.64.11,158.69.207.216,31,48054,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.vidv5o.com,83d60721ecc423892660e275acc4dffd
113,192.168.64.11,85.195.208.19,39,53654,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.43oaxrxsiao3g26fiqo.com,83d60721ecc423892660e275acc4dffd
114,192.168.64.11,158.69.207.216,26,47952,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.y2tx7krzb.com,83d60721ecc423892660e275acc4dffd
115,192.168.64.11,23.250.14.98,38,44848,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.ncymqfeemp.com,83d60721ecc423892660e275acc4dffd
116,192.168.64.11,85.195.208.19,19,54006,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.zvwizo7.com,83d60721ecc423892660e275acc4dffd
117,192.168.64.11,158.69.207.216,13,48304,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.mh32iv3bl.com,83d60721ecc423892660e275acc4dffd
118,192.168.64.11,85.195.208.19,32,53700,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.lfkn5tns7lv.com,83d60721ecc423892660e275acc4dffd
119,192.168.64.11,23.250.14.98,14,44552,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.v3defcud3xzpjdbmienjvnu5c.com,83d60721ecc423892660e275acc4dffd
120,192.168.64.11,158.69.207.216,25,48006,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.kkgssuop2a6kua4fh74ls7os.com,83d60721ecc423892660e275acc4dffd
121,192.168.64.11,23.250.14.98,39,44566,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.od6q6j3sygtafaednye.com,83d60721ecc423892660e275acc4dffd
122,192.168.64.11,158.69.207.216,14,48020,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.oefrpzib6mne6dnggadz.com,83d60721ecc423892660e275acc4dffd
123,192.168.64.11,85.195.208.19,19,53726,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.f3h2yjdi7r6vodfcrh7.com,83d60721ecc423892660e275acc4dffd
124,192.168.64.11,85.195.208.19,31,53984,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.7sa3pzo2gircprxj5gvahuc.com,83d60721ecc423892660e275acc4dffd
125,192.168.64.11,23.250.14.98,31,44836,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.245xvetgvy2edqt.com,83d60721ecc423892660e275acc4dffd
126,192.168.64.11,85.195.208.19,33,53732,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.rmre4decxjenlm2lkbc.com,83d60721ecc423892660e275acc4dffd
127,192.168.64.11,23.250.14.98,13,44590,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.kj6wkgx6.com,83d60721ecc423892660e275acc4dffd
128,192.168.64.11,158.69.207.216,25,48038,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.d7ha5nbbdkpkhablj7l5ir5qy.com,83d60721ecc423892660e275acc4dffd
129,192.168.64.11,158.69.207.216,35,48216,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.cdpcrmces6odg6yugzly.com,83d60721ecc423892660e275acc4dffd
130,192.168.64.11,85.195.208.19,20,53928,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.whro5oeqc3ua2hub.com,83d60721ecc423892660e275acc4dffd
131,192.168.64.11,23.250.14.98,19,44780,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.koelxa33iby3wibj3s3ip.com,83d60721ecc423892660e275acc4dffd
132,192.168.64.11,85.195.208.19,27,53824,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.twrw34.com,83d60721ecc423892660e275acc4dffd
133,192.168.64.11,158.69.207.216,31,48126,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.qohn3.com,83d60721ecc423892660e275acc4dffd
134,192.168.64.11,23.250.14.98,13,44684,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.tykjw3zdjr3smcrep2gavqkn.com,83d60721ecc423892660e275acc4dffd
135,192.168.64.11,85.195.208.19,32,53808,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.zsvaiir4f2qkbfknroyrv.com,83d60721ecc423892660e275acc4dffd
136,192.168.64.11,23.250.14.98,14,44664,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.rkk4x.com,83d60721ecc423892660e275acc4dffd
137,192.168.64.11,158.69.207.216,25,48114,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.bgaxshx3xme.com,83d60721ecc423892660e275acc4dffd
138,192.168.64.11,158.69.207.216,32,48184,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.3dk2cqxqj7iq.com,83d60721ecc423892660e275acc4dffd
139,192.168.64.11,23.250.14.98,25,44740,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.sjh5nuy76w3nx.com,83d60721ecc423892660e275acc4dffd
140,192.168.64.11,85.195.208.19,14,53898,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.77yolfpu45tv2.com,83d60721ecc423892660e275acc4dffd
141,192.168.64.11,23.250.14.98,18,44470,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.budae2riuidco3.com,83d60721ecc423892660e275acc4dffd
142,192.168.64.11,85.195.208.19,44,53624,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.en7zftv73d.com,83d60721ecc423892660e275acc4dffd
143,192.168.64.11,158.69.207.216,13,47928,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.tumcjxaaouxrklbdqiw6.com,83d60721ecc423892660e275acc4dffd
144,192.168.64.11,23.250.14.98,29,44644,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.xptt4uot6cvuvhdvo.com,83d60721ecc423892660e275acc4dffd
145,192.168.64.11,85.195.208.19,31,53796,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.sexdk.com,83d60721ecc423892660e275acc4dffd
146,192.168.64.11,23.250.14.98,20,44488,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,573,2022-06-26 00:00:00 (UTC),2022-07-21 23:59:59 (UTC),www.2irc7rvp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.ovbilapgr.com,83d60721ecc423892660e275acc4dffd
147,192.168.64.11,158.69.207.216,19,47936,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-03-14 00:00:00 (UTC),2022-12-07 23:59:59 (UTC),www.p7a73jny75.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.cai7cnjxhhue7w5w4.com,83d60721ecc423892660e275acc4dffd
148,192.168.64.11,85.195.208.19,18,53648,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,591,2022-05-30 00:00:00 (UTC),2023-04-14 00:00:00 (UTC),www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.7hh3rbeo4ktoni2ha2oylm.com,83d60721ecc423892660e275acc4dffd
149,192.168.64.11,172.106.112.42,30,60316,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.ysxfa6actal6.com,83d60721ecc423892660e275acc4dffd
150,192.168.64.11,95.216.33.58,31,42448,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.jlwbt4ffofppp3zt7tfoxiqs.com,83d60721ecc423892660e275acc4dffd
151,192.168.64.11,95.216.33.58,29,42282,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.snxtzc.com,83d60721ecc423892660e275acc4dffd
152,192.168.64.11,172.106.112.42,31,60154,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.ei7ni.com,83d60721ecc423892660e275acc4dffd
153,192.168.64.11,95.216.33.58,36,42416,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.lrojhfildf.com,83d60721ecc423892660e275acc4dffd
154,192.168.64.11,172.106.112.42,31,60288,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.oyvxby6p7pg.com,83d60721ecc423892660e275acc4dffd
155,192.168.64.11,172.106.112.42,38,60090,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.ltwtnzjaj.com,83d60721ecc423892660e275acc4dffd
156,192.168.64.11,95.216.33.58,19,42222,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.nbot4jrlxmswm.com,83d60721ecc423892660e275acc4dffd
157,192.168.64.11,185.14.30.57,13,55838,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,588,2022-05-03 00:00:00 (UTC),2022-10-19 23:59:59 (UTC),www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.xonwm2zg453nft4efjfl.com,83d60721ecc423892660e275acc4dffd
158,192.168.64.11,95.216.33.58,50,42356,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.4ubxyh5z6c5g3k3.com,83d60721ecc423892660e275acc4dffd
159,192.168.64.11,185.14.30.57,13,55972,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,588,2022-05-03 00:00:00 (UTC),2022-10-19 23:59:59 (UTC),www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.t6727blpucbqloqeqzhex3.com,83d60721ecc423892660e275acc4dffd
160,192.168.64.11,185.14.30.57,19,56098,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,588,2022-05-03 00:00:00 (UTC),2022-10-19 23:59:59 (UTC),www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.a7hinmq4taraykrolrv.com,83d60721ecc423892660e275acc4dffd
161,192.168.64.11,95.216.33.58,14,42496,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.rmfrau.com,83d60721ecc423892660e275acc4dffd
162,192.168.64.11,172.106.112.42,19,60370,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.oyfbsgysnfnpibacr2tmadde.com,83d60721ecc423892660e275acc4dffd
163,192.168.64.11,95.216.33.58,17,42386,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.wmg3bhul.com,83d60721ecc423892660e275acc4dffd
164,192.168.64.11,172.106.112.42,24,60258,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.73qlzxatkpbvnwpjlrflqy.com,83d60721ecc423892660e275acc4dffd
165,192.168.64.11,185.14.30.57,13,56004,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,588,2022-05-03 00:00:00 (UTC),2022-10-19 23:59:59 (UTC),www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.cp2lkw7ds63rbfdgjb2b54.com,83d60721ecc423892660e275acc4dffd
166,192.168.64.11,172.106.112.42,36,60330,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.6k4tu563fxo3fni6zvr6yjfa.com,83d60721ecc423892660e275acc4dffd
167,192.168.64.11,185.14.30.57,25,56070,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,588,2022-05-03 00:00:00 (UTC),2022-10-19 23:59:59 (UTC),www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.b6p34rzakwd3zqjcb6dbe3jm.com,83d60721ecc423892660e275acc4dffd
168,192.168.64.11,95.216.33.58,32,42204,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.up7pxyghvcekzwne4dxzbu4.com,83d60721ecc423892660e275acc4dffd
169,192.168.64.11,172.106.112.42,25,60076,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.qffpfmfbvuszipovzmnnwl.com,83d60721ecc423892660e275acc4dffd
170,192.168.64.11,185.14.30.57,13,55822,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,588,2022-05-03 00:00:00 (UTC),2022-10-19 23:59:59 (UTC),www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.dgj6cgmrke.com,83d60721ecc423892660e275acc4dffd
171,192.168.64.11,172.106.112.42,35,60120,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.vieuewg.com,83d60721ecc423892660e275acc4dffd
172,192.168.64.11,185.14.30.57,25,55860,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,588,2022-05-03 00:00:00 (UTC),2022-10-19 23:59:59 (UTC),www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.siimxbtcewpe.com,83d60721ecc423892660e275acc4dffd
173,192.168.64.11,95.216.33.58,13,42260,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.q6la2z76hxt5dj6mwd5o6zam.com,83d60721ecc423892660e275acc4dffd
174,192.168.64.11,95.216.33.58,42,42312,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.d7twsrmwcwebdzvfnulb6ymv.com,83d60721ecc423892660e275acc4dffd
175,192.168.64.11,172.106.112.42,13,60190,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.gp5kcdjwv5xzzeziuan.com,83d60721ecc423892660e275acc4dffd
176,192.168.64.11,185.14.30.57,13,55930,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,588,2022-05-03 00:00:00 (UTC),2022-10-19 23:59:59 (UTC),www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.komno5ar66cch2lwcfyr7ec.com,83d60721ecc423892660e275acc4dffd
177,192.168.64.11,185.14.30.57,37,55764,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,588,2022-05-03 00:00:00 (UTC),2022-10-19 23:59:59 (UTC),www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.fqhxbpna.com,83d60721ecc423892660e275acc4dffd
178,192.168.64.11,172.106.112.42,19,60032,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.antac.com,83d60721ecc423892660e275acc4dffd
179,192.168.64.11,95.216.33.58,13,42166,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.k4woe.com,83d60721ecc423892660e275acc4dffd
180,192.168.64.11,95.216.33.58,24,42474,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.nlufrv6.com,83d60721ecc423892660e275acc4dffd
181,192.168.64.11,185.14.30.57,25,56084,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,588,2022-05-03 00:00:00 (UTC),2022-10-19 23:59:59 (UTC),www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.ueaz6advek.com,83d60721ecc423892660e275acc4dffd
182,192.168.64.11,172.106.112.42,23,60354,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.ir45tsg5jigt.com,83d60721ecc423892660e275acc4dffd
183,192.168.64.11,185.14.30.57,27,55874,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,588,2022-05-03 00:00:00 (UTC),2022-10-19 23:59:59 (UTC),www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.bwdf.com,83d60721ecc423892660e275acc4dffd
184,192.168.64.11,95.216.33.58,13,42272,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,580,2022-02-13 00:00:00 (UTC),2022-10-08 23:59:59 (UTC),www.hbxjbwgkv5osvf.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.2d252jqljhar5.com,83d60721ecc423892660e275acc4dffd
185,192.168.64.11,172.106.112.42,20,60146,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2022-06-11 00:00:00 (UTC),2023-01-17 00:00:00 (UTC),www.52ozqbaium.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.6y6hg5fu6l5k6kiu2b.com,83d60721ecc423892660e275acc4dffd
186,192.168.64.11,185.14.30.57,32,56114,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,588,2022-05-03 00:00:00 (UTC),2022-10-19 23:59:59 (UTC),www.x5hbco25yfkwd.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.bfs2.com,83d60721ecc423892660e275acc4dffd
