stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash
49,192.168.64.11,45.142.176.96,26,53904,9000,0x0303,0x303,14,TRUE,FALSE,13,15,1,582,2022-06-16 00:00:00 (UTC),2022-11-11 00:00:00 (UTC),www.pvhcgowdqc5eg7.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.d6e52in5vckjymtf3yhxp.com,83d60721ecc423892660e275acc4dffd
50,192.168.64.11,195.90.201.93,19,40158,9100,0x0303,0x303,14,TRUE,FALSE,13,15,1,579,2022-07-02 00:00:00 (UTC),2022-07-08 00:00:00 (UTC),www.pa6dioa4k4.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.kzx2a5m.com,83d60721ecc423892660e275acc4dffd
51,192.168.64.11,172.241.227.151,13,41406,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,576,2022-06-12 00:00:00 (UTC),2022-11-15 23:59:59 (UTC),www.bwbp65xslo5.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.hyqzxbkzqf.com,83d60721ecc423892660e275acc4dffd
52,192.168.64.11,185.239.222.248,31,41538,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,592,2022-02-08 00:00:00 (UTC),2022-08-15 00:00:00 (UTC),www.ulkbkvp6te4xzyueuhp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.x222rruybdcnt6dmjoo6d.com,83d60721ecc423892660e275acc4dffd
53,192.168.64.11,104.217.250.206,19,56622,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2021-10-02 00:00:00 (UTC),2022-09-23 23:59:59 (UTC),www.jzqow2rec76kaxl.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.cmvqk3wmdp3vjdwwk6b.com,83d60721ecc423892660e275acc4dffd
54,192.168.64.11,81.179.123.62,19,37734,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,586,2022-01-25 00:00:00 (UTC),2023-01-15 23:59:59 (UTC),www.rxyggcfvqynlanb.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.s5om5tc2yq.com,83d60721ecc423892660e275acc4dffd
55,192.168.64.11,185.239.222.248,30,41570,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,592,2022-02-08 00:00:00 (UTC),2022-08-15 00:00:00 (UTC),www.ulkbkvp6te4xzyueuhp.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.jqpkv.com,83d60721ecc423892660e275acc4dffd
56,192.168.64.11,81.179.123.62,29,37758,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,586,2022-01-25 00:00:00 (UTC),2023-01-15 23:59:59 (UTC),www.rxyggcfvqynlanb.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.xbwkis56nq6abeovbymrv.com,83d60721ecc423892660e275acc4dffd
57,192.168.64.11,104.217.250.206,14,56660,443,0x0303,0x303,14,TRUE,FALSE,13,15,1,585,2021-10-02 00:00:00 (UTC),2022-09-23 23:59:59 (UTC),www.jzqow2rec76kaxl.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.u7rernlj.com,83d60721ecc423892660e275acc4dffd
58,192.168.64.11,81.179.123.62,37,37836,9001,0x0303,0x303,14,TRUE,FALSE,13,15,1,586,2022-01-25 00:00:00 (UTC),2023-01-15 23:59:59 (UTC),www.rxyggcfvqynlanb.com,1.2.840.113549.1.1.11,0xc030,13,,,,,www.jkvhpcq4mps3x2q.com,83d60721ecc423892660e275acc4dffd
