,stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash,TOR
58,58,192.168.64.11,52.46.143.155,10,38708,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,27242.0,1.0,8.0,,,,,5.0,cd08e31494f9531f560d64c695473da9,0
59,62,192.168.64.11,192.108.239.254,10,46720,443,0x0304,0x304,4b64d6fa612f.us-east-1.playback.live-video.net,16.0,False,False,4.0,2.0,29.0,0x1302,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
60,60,192.168.64.11,52.94.233.61,20,56650,443,0x0303,0x304,unagi.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,43690.0,1.0,8.0,4.0,5139.0,2022-03-10 00:00:00 (UTC),2023-03-02 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
61,61,192.168.64.11,52.46.143.155,7,38714,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,43690.0,1.0,8.0,,,,,5.0,cd08e31494f9531f560d64c695473da9,0
62,63,192.168.64.11,209.54.183.75,4,33860,443,0x0303,0x304,aax-us-iad.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,19018.0,1.0,8.0,,,,,5.0,cd08e31494f9531f560d64c695473da9,0
63,64,192.168.64.11,52.46.143.155,4,38720,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,56026.0,1.0,8.0,,,,,5.0,cd08e31494f9531f560d64c695473da9,0
64,65,192.168.64.11,52.46.143.155,4,38722,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,51914.0,1.0,8.0,,,,,5.0,cd08e31494f9531f560d64c695473da9,0
65,66,192.168.64.11,34.217.186.86,12,47450,443,0x0303,0x304,player.stats.live-video.net,16.0,False,False,4.0,2.0,,0xc02f,14906.0,1.0,8.0,4.0,5081.0,2022-06-15 00:00:00 (UTC),2023-07-13 23:59:59 (UTC),26.0,cd08e31494f9531f560d64c695473da9,0
66,70,192.168.64.11,99.181.79.10,11,50110,443,0x0304,0x304,video-weaver.lhr03.hls.live-video.net,16.0,False,False,4.0,2.0,29.0,0x1302,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
67,67,192.168.64.11,52.46.143.155,14,38726,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,60138.0,1.0,8.0,4.0,5139.0,2022-03-10 00:00:00 (UTC),2023-03-02 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
68,71,192.168.64.11,52.46.130.91,30,46352,443,0x0303,0x304,s.amazon-adsystem.com,16.0,False,False,4.0,2.0,,0xc02f,47802.0,1.0,8.0,4.0,5002.0,2022-05-09 00:00:00 (UTC),2023-04-21 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
69,68,192.168.64.11,34.217.186.86,4,47454,443,0x0303,0x304,player.stats.live-video.net,16.0,False,False,4.0,2.0,,0xc02f,6682.0,1.0,8.0,4.0,5081.0,2022-06-15 00:00:00 (UTC),2023-07-13 23:59:59 (UTC),26.0,cd08e31494f9531f560d64c695473da9,0
70,69,192.168.64.11,34.217.186.86,6,47456,443,0x0303,0x304,player.stats.live-video.net,16.0,False,False,4.0,2.0,,0xc02f,10794.0,1.0,8.0,4.0,5081.0,2022-06-15 00:00:00 (UTC),2023-07-13 23:59:59 (UTC),26.0,cd08e31494f9531f560d64c695473da9,0
71,72,192.168.64.11,104.18.19.126,10,37018,443,0x0304,0x304,dsum-sec.casalemedia.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
72,77,192.168.64.11,104.22.24.87,11,56242,443,0x0304,0x304,mwzeom.zeotap.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
73,80,192.168.64.11,104.86.132.41,11,38046,443,0x0304,0x304,tags.bluekai.com,16.0,False,False,4.0,2.0,29.0,0x1302,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
74,75,192.168.64.11,212.82.100.182,12,35194,443,0x0303,0x304,cms.analytics.yahoo.com,16.0,False,False,4.0,2.0,,0xc02f,43690.0,1.0,8.0,4.0,5964.0,2022-03-15 00:00:00 (UTC),2022-09-07 23:59:59 (UTC),38.0,cd08e31494f9531f560d64c695473da9,0
