stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash,tls_supported_group_length
59,192.168.64.11,35.156.193.10,12,38898,443,0x0303,0x304,17.0,False,False,4.0,3,4578,*.bidswitch.net,1.2.840.113549.1.1.11,0xc02f,13,,,,65,x.bidswitch.net,579ccef312d18482fc42e2b822ca2430,6.0
63,192.168.64.11,212.82.100.182,11,52744,443,0x0303,0x304,17.0,False,False,4.0,4,5964,,1.2.840.113549.1.1.11,0xc02f,38,,,,32,cms.analytics.yahoo.com,579ccef312d18482fc42e2b822ca2430,6.0
65,192.168.64.11,34.252.199.249,14,34110,443,0x0303,0x304,17.0,False,False,4.0,3,5023,,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,beacon.krxd.net,579ccef312d18482fc42e2b822ca2430,6.0
61,192.168.64.11,18.156.0.31,16,55464,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1302,46,,,,,ups.analytics.yahoo.com,579ccef312d18482fc42e2b822ca2430,6.0
67,192.168.64.11,213.19.162.80,8,55196,443,0x0303,0x304,17.0,False,False,4.0,2,2974,*.rubiconproject.com,1.2.840.113549.1.1.11,0x009d,24,,,,,pixel.rubiconproject.com,579ccef312d18482fc42e2b822ca2430,6.0
68,192.168.64.11,34.245.240.96,9,58762,443,0x0303,0x304,17.0,False,False,4.0,3,3911,*.demdex.net,1.2.840.113549.1.1.11,0xc02f,13,0x03,0x0017,65,65,dpm.demdex.net,579ccef312d18482fc42e2b822ca2430,6.0
69,192.168.64.11,34.98.67.61,13,60748,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,odr.mookie1.com,579ccef312d18482fc42e2b822ca2430,6.0
62,192.168.64.11,34.194.219.222,10,37252,443,0x0303,0x304,17.0,False,False,4.0,4,5138,*.tremorhub.com,1.2.840.113549.1.1.11,0xc02f,26,,,,65,amazon.partners.tremorhub.com,579ccef312d18482fc42e2b822ca2430,6.0
72,192.168.64.11,185.94.180.125,9,33488,443,0x0303,0x304,17.0,False,False,4.0,2,2825,*.search.spotxchange.com,1.2.840.113549.1.1.11,0xc02f,15,0x03,0x0017,65,65,sync.search.spotxchange.com,579ccef312d18482fc42e2b822ca2430,6.0
70,192.168.64.11,37.157.4.23,17,51134,443,0x0303,0x304,17.0,False,False,4.0,3,4365,København,1.2.840.113549.1.1.11,0xc02f,30,0x03,0x0017,65,65,c1.adform.net,579ccef312d18482fc42e2b822ca2430,6.0
75,192.168.64.11,216.58.212.226,20,53882,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,cm.g.doubleclick.net,579ccef312d18482fc42e2b822ca2430,6.0
73,192.168.64.11,3.124.52.27,12,39032,443,0x0303,0x304,17.0,False,False,4.0,4,4972,,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,bs.serving-sys.com,579ccef312d18482fc42e2b822ca2430,6.0
77,192.168.64.11,108.156.28.62,14,35142,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,sb.scorecardresearch.com,579ccef312d18482fc42e2b822ca2430,6.0
78,192.168.64.11,35.244.159.8,16,60366,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,us-u.openx.net,579ccef312d18482fc42e2b822ca2430,6.0
79,192.168.64.11,104.18.18.126,14,36766,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,ssum-sec.casalemedia.com,579ccef312d18482fc42e2b822ca2430,6.0
81,192.168.64.11,185.89.210.20,11,55972,443,0x0303,0x304,17.0,False,False,4.0,2,2218,*.adnxs.com,1.2.840.10045.4.3.2,0xc02b,44,0x03,0x001d,32,32,ib.adnxs.com,579ccef312d18482fc42e2b822ca2430,6.0
80,192.168.64.11,77.243.60.138,12,52080,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,uipglob.semasio.net,579ccef312d18482fc42e2b822ca2430,6.0
76,192.168.64.11,52.20.189.152,12,56248,443,0x0303,0x304,17.0,False,False,4.0,3,4971,,1.2.840.113549.1.1.11,0xc02f,26,,,,65,usermatch.krxd.net,579ccef312d18482fc42e2b822ca2430,6.0
82,192.168.64.11,185.64.190.80,7,34176,443,0x0303,0x304,17.0,False,False,4.0,3,3907,*.pubmatic.com,1.2.840.113549.1.1.11,0xc02f,24,,,,65,image2.pubmatic.com,579ccef312d18482fc42e2b822ca2430,6.0
83,192.168.64.11,213.19.162.80,8,55228,443,0x0303,0x304,17.0,False,False,4.0,2,2974,*.rubiconproject.com,1.2.840.113549.1.1.11,0x009d,24,,,,,token.rubiconproject.com,579ccef312d18482fc42e2b822ca2430,6.0
84,192.168.64.11,216.58.212.226,9,53900,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,cm.g.doubleclick.net,579ccef312d18482fc42e2b822ca2430,6.0
85,192.168.64.11,18.198.69.109,11,36844,443,0x0303,0x304,17.0,False,False,4.0,2,2955,*.exelator.com,1.2.840.113549.1.1.11,0xc02f,26,,,,65,loadus.exelator.com,579ccef312d18482fc42e2b822ca2430,6.0
86,192.168.64.11,157.240.221.35,15,43858,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,www.facebook.com,579ccef312d18482fc42e2b822ca2430,6.0
87,192.168.64.11,142.250.178.2,16,38838,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,googleads.g.doubleclick.net,579ccef312d18482fc42e2b822ca2430,6.0
88,192.168.64.11,185.64.190.78,12,46974,443,0x0303,0x304,17.0,False,False,4.0,3,3907,*.pubmatic.com,1.2.840.113549.1.1.11,0xc02f,24,0x03,0x0017,65,65,image6.pubmatic.com,579ccef312d18482fc42e2b822ca2430,6.0
89,192.168.64.11,141.226.228.48,12,59250,443,0x0303,0x304,17.0,False,False,4.0,3,3549,*.taboola.com,1.2.840.10045.4.3.3,0xc02b,38,0x03,0x001d,32,32,sync.taboola.com,579ccef312d18482fc42e2b822ca2430,6.0
94,192.168.64.11,172.217.16.228,16,37856,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,www.google.com,579ccef312d18482fc42e2b822ca2430,6.0
93,192.168.64.11,3.73.240.107,12,39612,443,0x0303,0x304,17.0,False,False,4.0,4,4937,,1.2.840.113549.1.1.11,0xc02f,15,0x03,0x0017,65,65,lm.serving-sys.com,579ccef312d18482fc42e2b822ca2430,6.0
95,192.168.64.11,52.46.151.131,7,43346,443,0x0303,0x304,17.0,False,False,4.0,4,5002,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,s.amazon-adsystem.com,579ccef312d18482fc42e2b822ca2430,6.0
96,192.168.64.11,142.250.180.3,16,45684,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,www.google.co.uk,579ccef312d18482fc42e2b822ca2430,6.0
97,192.168.64.11,108.156.28.51,3,50766,443,,,,,,,,,,,,,,,,,,,
98,192.168.64.11,34.117.237.239,3,42050,443,,,,,,,,,,,,,,,,,,,
36,192.168.64.11,13.224.245.4,2,51546,443,,,,,,,,,,,,,,,,,,,
99,192.168.64.11,87.248.114.11,3,56846,443,,,,,,,,,,,,,,,,,,,
100,192.168.64.11,34.120.115.102,3,52710,443,,,,,,,,,,,,,,,,,,,
101,192.168.64.11,52.44.8.169,3,37798,443,,,,,,,,,,,,,,,,,,,
102,192.168.64.11,34.120.208.123,6,43298,443,,,,,,,,,,,,,,,,,,,
103,192.168.64.11,52.46.137.106,19,45462,443,0x0303,0x304,17.0,False,False,4.0,4,5139,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,unagi.amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
104,192.168.64.11,142.250.187.234,13,42268,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,52,,,,,safebrowsing.googleapis.com,02aa4679df284f240695da144b70c288,6.0
105,192.168.64.11,172.217.169.5,3,56276,443,,,,,,,,,,,,,,,,,,,
106,192.168.64.11,142.250.179.229,3,39454,443,,,,,,,,,,,,,,,,,,,
107,192.168.64.11,172.217.16.228,3,37670,443,,,,,,,,,,,,,,,,,,,
108,192.168.64.11,142.250.180.3,3,45512,443,,,,,,,,,,,,,,,,,,,
109,192.168.64.11,142.250.187.206,3,39990,443,,,,,,,,,,,,,,,,,,,
110,192.168.64.11,157.240.221.174,15,40652,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,instagram.com,579ccef312d18482fc42e2b822ca2430,6.0
111,192.168.64.11,157.240.221.174,10,40654,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,www.instagram.com,579ccef312d18482fc42e2b822ca2430,6.0
112,192.168.64.11,157.240.221.16,16,59830,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,connect.facebook.net,579ccef312d18482fc42e2b822ca2430,6.0
113,192.168.64.11,157.240.221.16,20,59832,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,connect.facebook.net,579ccef312d18482fc42e2b822ca2430,6.0
114,192.168.64.11,157.240.221.35,15,43892,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,www.facebook.com,579ccef312d18482fc42e2b822ca2430,6.0
115,192.168.64.11,142.250.187.234,13,42280,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,52,,,,,safebrowsing.googleapis.com,02aa4679df284f240695da144b70c288,6.0
118,192.168.64.11,34.120.237.76,3,51550,443,,,,,,,,,,,,,,,,,,,
119,192.168.64.11,91.198.174.194,10,58504,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1302,46,,,,,wikipedia.com,579ccef312d18482fc42e2b822ca2430,6.0
120,192.168.64.11,91.198.174.192,19,36978,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1302,46,,,,,www.wikipedia.org,579ccef312d18482fc42e2b822ca2430,6.0
121,192.168.64.11,74.6.143.25,12,43760,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,yahoo.com,579ccef312d18482fc42e2b822ca2430,6.0
122,192.168.64.11,87.248.100.216,13,43962,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,www.yahoo.com,579ccef312d18482fc42e2b822ca2430,6.0
123,192.168.64.11,87.248.114.12,24,56242,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,uk.yahoo.com,579ccef312d18482fc42e2b822ca2430,6.0
124,192.168.64.11,52.208.201.35,8,47510,443,0x0303,0x304,17.0,False,False,4.0,2,4591,,1.2.840.113549.1.1.11,0xc02f,9,0x03,0x0017,65,65,guce.yahoo.com,579ccef312d18482fc42e2b822ca2430,6.0
125,192.168.64.11,52.208.201.35,11,47512,443,0x0303,0x304,17.0,False,False,4.0,2,3940,,1.2.840.113549.1.1.11,0xc02f,9,0x03,0x0017,65,65,consent.yahoo.com,579ccef312d18482fc42e2b822ca2430,6.0
126,192.168.64.11,87.248.114.12,9,56248,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,s.yimg.com,579ccef312d18482fc42e2b822ca2430,6.0
127,192.168.64.11,172.217.16.246,9,58118,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,i.ytimg.com,579ccef312d18482fc42e2b822ca2430,6.0
130,192.168.64.11,172.217.169.33,9,38004,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,yt3.ggpht.com,579ccef312d18482fc42e2b822ca2430,6.0
129,192.168.64.11,172.217.169.33,9,38002,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,yt3.ggpht.com,579ccef312d18482fc42e2b822ca2430,6.0
131,192.168.64.11,172.217.169.33,8,38006,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,yt3.ggpht.com,579ccef312d18482fc42e2b822ca2430,6.0
132,192.168.64.11,172.217.169.33,15,38008,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,yt3.ggpht.com,579ccef312d18482fc42e2b822ca2430,6.0
133,192.168.64.11,172.217.169.33,9,38010,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,yt3.ggpht.com,579ccef312d18482fc42e2b822ca2430,6.0
134,192.168.64.11,172.217.169.33,9,38012,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,yt3.ggpht.com,579ccef312d18482fc42e2b822ca2430,6.0
137,192.168.64.11,142.250.187.234,8,42322,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,jnn-pa.googleapis.com,579ccef312d18482fc42e2b822ca2430,6.0
138,192.168.64.11,142.250.178.14,9,54770,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,consent.youtube.com,579ccef312d18482fc42e2b822ca2430,6.0
139,192.168.64.11,142.250.178.2,15,38918,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,googleads.g.doubleclick.net,579ccef312d18482fc42e2b822ca2430,6.0
140,192.168.64.11,142.250.187.198,15,38112,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,static.doubleclick.net,579ccef312d18482fc42e2b822ca2430,6.0
141,192.168.64.11,142.250.200.5,11,53138,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,gmail.com,579ccef312d18482fc42e2b822ca2430,6.0
142,192.168.64.11,142.250.179.229,18,39710,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,mail.google.com,579ccef312d18482fc42e2b822ca2430,6.0
143,192.168.64.11,142.250.179.229,9,39712,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,mail.google.com,579ccef312d18482fc42e2b822ca2430,6.0
148,192.168.64.11,142.250.180.3,11,45764,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,fonts.gstatic.com,579ccef312d18482fc42e2b822ca2430,6.0
149,192.168.64.11,142.250.180.3,9,45766,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,fonts.gstatic.com,579ccef312d18482fc42e2b822ca2430,6.0
150,192.168.64.11,142.250.180.3,9,45768,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,fonts.gstatic.com,579ccef312d18482fc42e2b822ca2430,6.0
151,192.168.64.11,142.250.180.3,9,45770,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,fonts.gstatic.com,579ccef312d18482fc42e2b822ca2430,6.0
152,192.168.64.11,142.250.180.3,9,45772,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,fonts.gstatic.com,579ccef312d18482fc42e2b822ca2430,6.0
153,192.168.64.11,142.250.180.3,8,45774,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,fonts.gstatic.com,579ccef312d18482fc42e2b822ca2430,6.0
154,192.168.64.11,142.250.179.232,9,44096,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,www.googletagmanager.com,579ccef312d18482fc42e2b822ca2430,6.0
155,192.168.64.11,216.58.213.17,8,46628,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,csp.withgoogle.com,579ccef312d18482fc42e2b822ca2430,6.0
156,192.168.64.11,172.217.16.238,9,54780,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,www.google-analytics.com,579ccef312d18482fc42e2b822ca2430,6.0
157,192.168.64.11,216.239.32.36,14,52026,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,region1.google-analytics.com,579ccef312d18482fc42e2b822ca2430,6.0
158,192.168.64.11,140.82.121.3,15,42406,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,github.com,579ccef312d18482fc42e2b822ca2430,6.0
160,192.168.64.11,185.199.110.154,30,40516,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,github.githubassets.com,579ccef312d18482fc42e2b822ca2430,6.0
159,192.168.64.11,185.199.110.154,9,40514,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,github.githubassets.com,579ccef312d18482fc42e2b822ca2430,6.0
161,192.168.64.11,185.199.110.154,8,40518,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,github.githubassets.com,579ccef312d18482fc42e2b822ca2430,6.0
162,192.168.64.11,185.199.110.154,9,40520,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,github.githubassets.com,579ccef312d18482fc42e2b822ca2430,6.0
163,192.168.64.11,185.199.110.154,9,40522,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,github.githubassets.com,579ccef312d18482fc42e2b822ca2430,6.0
164,192.168.64.11,185.199.110.154,9,40524,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,github.githubassets.com,579ccef312d18482fc42e2b822ca2430,6.0
165,192.168.64.11,185.199.110.154,4,40526,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,github.githubassets.com,579ccef312d18482fc42e2b822ca2430,6.0
167,192.168.64.11,185.199.110.133,9,34510,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,avatars.githubusercontent.com,579ccef312d18482fc42e2b822ca2430,6.0
166,192.168.64.11,185.199.110.154,13,40528,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,github.githubassets.com,579ccef312d18482fc42e2b822ca2430,6.0
168,192.168.64.11,140.82.113.22,11,46882,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,collector.github.com,579ccef312d18482fc42e2b822ca2430,6.0
169,192.168.64.11,140.82.121.5,14,36476,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,api.github.com,579ccef312d18482fc42e2b822ca2430,6.0
