stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_cert_length,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash,tls_cipher_suite_length
40,192.168.64.11,54.192.226.66,7,40764,443,0x0304,,,,0x1301,46,,,,,m.media-amazon.com,cd08e31494f9531f560d64c695473da9,
41,192.168.64.11,108.138.235.217,33,59868,443,0x0304,,,,0x1301,46,,,,,images-na.ssl-images-amazon.com,cd08e31494f9531f560d64c695473da9,
42,192.168.64.11,54.192.226.66,4,40768,443,0x0304,,,,0x1301,46,,,,,m.media-amazon.com,cd08e31494f9531f560d64c695473da9,
39,192.168.64.11,54.192.226.66,4,40762,443,0x0304,,,,0x1301,46,,,,,m.media-amazon.com,cd08e31494f9531f560d64c695473da9,
46,192.168.64.11,54.192.226.66,34,40776,443,0x0304,,,,0x1301,46,,,,,m.media-amazon.com,cd08e31494f9531f560d64c695473da9,
45,192.168.64.11,52.55.181.3,65,56916,443,0x0303,1563,,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,fls-na.amazon.com,cd08e31494f9531f560d64c695473da9,
47,192.168.64.11,52.46.145.203,6,49006,443,0x0303,1583,,1.2.840.113549.1.1.11,0xc02f,21,,,,65,completion.amazon.com,cd08e31494f9531f560d64c695473da9,
48,192.168.64.11,209.54.183.75,9,33830,443,0x0303,1593,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,aax-us-iad.amazon.com,cd08e31494f9531f560d64c695473da9,
50,192.168.64.11,209.54.183.75,9,33834,443,0x0303,1593,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,aax-us-iad.amazon.com,cd08e31494f9531f560d64c695473da9,
49,192.168.64.11,209.54.183.75,12,33832,443,0x0303,1593,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,aax-us-iad.amazon.com,cd08e31494f9531f560d64c695473da9,
51,192.168.64.11,52.94.243.89,7,55732,443,0x0303,1556,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,assoc-na.associates-amazon.com,cd08e31494f9531f560d64c695473da9,
52,192.168.64.11,54.239.17.248,8,42554,443,0x0303,1593,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,aax-us-east-retail-direct.amazon.com,cd08e31494f9531f560d64c695473da9,
54,192.168.64.11,18.165.201.17,16,47662,443,0x0304,,,,0x1301,46,,,,,player.live-video.net,cd08e31494f9531f560d64c695473da9,
56,192.168.64.11,18.165.196.141,17,49238,443,0x0304,,,,0x1301,46,,,,,d23tl967axkois.cloudfront.net,cd08e31494f9531f560d64c695473da9,
53,192.168.64.11,52.46.143.155,14,38698,443,0x0303,1707,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,unagi-na.amazon.com,cd08e31494f9531f560d64c695473da9,
57,192.168.64.11,18.164.66.37,12,35192,443,0x0304,,,,0x1301,46,,,,,d2in0p32vp1pij.cloudfront.net,cd08e31494f9531f560d64c695473da9,
55,192.168.64.11,52.46.143.155,19,38702,443,0x0303,1707,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,unagi-na.amazon.com,cd08e31494f9531f560d64c695473da9,
59,192.168.64.11,18.165.201.17,10,47672,443,0x0304,,,,0x1301,46,,,,,player.live-video.net,cd08e31494f9531f560d64c695473da9,
58,192.168.64.11,52.46.143.155,10,38708,443,0x0303,,,,0xc02f,5,,,,,unagi-na.amazon.com,cd08e31494f9531f560d64c695473da9,
62,192.168.64.11,192.108.239.254,10,46720,443,0x0304,,,,0x1302,46,,,,,4b64d6fa612f.us-east-1.playback.live-video.net,cd08e31494f9531f560d64c695473da9,
60,192.168.64.11,52.94.233.61,20,56650,443,0x0303,1707,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,unagi.amazon.com,cd08e31494f9531f560d64c695473da9,
61,192.168.64.11,52.46.143.155,7,38714,443,0x0303,,,,0xc02f,5,,,,,unagi-na.amazon.com,cd08e31494f9531f560d64c695473da9,
63,192.168.64.11,209.54.183.75,4,33860,443,0x0303,,,,0xc02f,5,,,,,aax-us-iad.amazon.com,cd08e31494f9531f560d64c695473da9,
64,192.168.64.11,52.46.143.155,4,38720,443,0x0303,,,,0xc02f,5,,,,,unagi-na.amazon.com,cd08e31494f9531f560d64c695473da9,
65,192.168.64.11,52.46.143.155,4,38722,443,0x0303,,,,0xc02f,5,,,,,unagi-na.amazon.com,cd08e31494f9531f560d64c695473da9,
66,192.168.64.11,34.217.186.86,12,47450,443,0x0303,1649,,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,player.stats.live-video.net,cd08e31494f9531f560d64c695473da9,
70,192.168.64.11,99.181.79.10,11,50110,443,0x0304,,,,0x1302,46,,,,,video-weaver.lhr03.hls.live-video.net,cd08e31494f9531f560d64c695473da9,
67,192.168.64.11,52.46.143.155,14,38726,443,0x0303,1707,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,unagi-na.amazon.com,cd08e31494f9531f560d64c695473da9,
71,192.168.64.11,52.46.130.91,30,46352,443,0x0303,1570,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,s.amazon-adsystem.com,cd08e31494f9531f560d64c695473da9,
68,192.168.64.11,34.217.186.86,4,47454,443,0x0303,1649,,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,,player.stats.live-video.net,cd08e31494f9531f560d64c695473da9,
69,192.168.64.11,34.217.186.86,6,47456,443,0x0303,1649,,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,player.stats.live-video.net,cd08e31494f9531f560d64c695473da9,
72,192.168.64.11,104.18.19.126,10,37018,443,0x0304,,,,0x1301,46,,,,,dsum-sec.casalemedia.com,cd08e31494f9531f560d64c695473da9,
